enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,primary_water_source,primary_water_other,water_year_round,pay_for_water,pay_frequency_20l,water_cost_affordable,pwd_ease_use,pwd_barriers,latrine_type,latrine_other,hfhk_latrine_satisfaction,latrine_flood_function,latrine_issue,latrine_safe_heavy_rain,all_members_use_latrine,who_not_use_latrine,handwashing_station,hws_components,hws_has_soap_and_water,hws_has_ash_and_water,hws_has_water,hws_has_nothing,handwash_after_toilet,handwash_before_eating,handwash_before_cooking,handwash_after_waste,handwash_after_cleaning,handwash_other,handwash_other_specify ,hygiene_practices_improved,hygiene_improvement_desc,flood_damage_decreased,flood_decrease_desc,flood_prep_actions,flood_prep_other,canal_desilt_helped,,activities_still_useful,useful_interventions,useful_access_kiosks,useful_latrines_sanitization,useful_training,useful_flood_awareness,useful_committees,useful_other,why_not_useful,most_positive_intervention,remaining_challenges,most_important_change,life_different_if_no_project
Wycliffe Osalo,Kagola West,Male ,,Yes,Yes,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,Yes (ramps/handrails) ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"During rainy seasons, water gets into the pit causing it to weaken and later collapse ",No,Yes,,No,,,,,,1,1,1,1,1,0,,Yes,Cases of waterborne diseases have reduced because we are using clean water ,Yes,Flooding damaged crops in the farms ,Store water/food ,,No,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean water ,"Distance from the kiosk is still far making difficult for majority fetch water, many pit latrines collapse during the rainy seasons. ",Cases of waterborne diseases have significantly reduced ,No
Eveline Adhiambo Otieno ,Kagola West,Female,Yes,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,"Others, specify ",Open wells from the neighbourhood ,No,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved hygiene practices ,Yes,Desilted canals prevented the floods ,Store water/food ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness,0,1,1,1,0,0,,Flood resilient latrine ,"Lack of enough water kioks 

",Improved hygiene skills and latrines,No
Andericus Oguma,Kaswa,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,Wash our hands every time in need,Yes,Destroyed crops ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,We have reduced waterborne diseases ,Need more canals ,Have good latrine in our home ,No
Wycliffe Osalo,Kagola West,Male ,,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,Yes (ramps/handrails) ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"During the rainy seasons, water gets into the pit causing the waste to float to the ground ",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Hygiene has been improved moreso in hand washing ,Yes,"When the canal is full, excess water spill towards my farm, this destroy all my crops ",Store water/food ,,Not sure,,Yes,Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Flood preparedness awareness,1,1,1,1,0,0,,Access to clean and safe water ,Kiosks is quite far considering my health status and canals are being covered again with silt after flooding ,Drinking clean water has reduced cases of waterborne diseases like cholera ,No
Andericus Oguma,Kaswa,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,No,,,,,,0,1,1,0,0,0,,Yes,Rate of death reduced ,Yes,Destroyed crops ,Store water/food ,,Yes,,Yes,Flood preparedness awareness Hygiene education / training,0,0,1,1,0,0,,Have good toilets ,Lack of more canals ,Get good toilets ,No
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,Piped HFHK Water,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinking  latrines ,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,Improved hygiene skills ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Flood preparedness awareness Hygiene education / training Improved sanitation facilities,1,1,1,1,0,0,,Improved sanitation facilities ,Lack of enough canals,Clean water kioks ,No
Wycliffe Osalo,Kagola West,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Hygiene standards have improved significantly ,Yes,Floods have destroyed crops in our farms ,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Hygiene education / training,1,1,1,1,0,0,,Access to clean and safe water ,"Distance between our home and kiosk is quite far, floods remain a menace to our farms ","Improved sanitation facility, and access to clean water ",No
Andericus Oguma,Kaswa,Female,Yes,Yes,Yes,36-59 years (Adult),"Other, Specify",Get from families and well-wishers,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,With difficulty ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood,No,Yes,,No,,,,,,0,1,1,0,0,0,,Yes,Our hands are clean,Yes,Damaged crops,Use early warnings ,,Yes,,Not sure/Don't know ,,,,,,,,,We learn how to reduce germs through hand washing,Flood still exists due to lack of few canals,Hygiene practice increases,No
Wycliffe Osalo,Kagola West,Male ,,No,,36-59 years (Adult),Casual Labour,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water gets into the pit causing problems ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less cases of waterborne diseases and infections ,Yes,Rain water becomes stagnant resulting to crop damage ,Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean and safe water ,Distance from the kiosk is quite far,Access to clean which is very nice in laundry and drinking ,No
Wycliffe Osalo,Kagola West,Male ,,No,,36-59 years (Adult),Trade,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"Excess water infiltrate into the pit, resulting to weaknesses in structure ",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"General hygiene standards have improved, example hand washing practices ",Yes,Stagnant rain water destroy crops ,Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean and safe water ,Kiosk distance is still a worry to my household members ,Reduced cases of waterborne diseases and infections ,No
Tom Ocharo,Kokech,Male ,,No,,36-59 years (Adult),Trade,,"20,001 and Above",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved sanitation ,Yes,Desilting of canals enable water to flow faster ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Hygiene training ,"Fewer water kiosk, continuous sanitation and desilting of canals ",Improved hygiene ,No
Tom Ocharo,Kokech,Female,No,No,,18-35 years (Youth),"Other, Specify",None ,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Has improved because of sanitation training ,Yes,Desilting of canals enable water to flow faster,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Sanitation  training ,"Less water kiosks, continuous hygiene training and perpetual desilting of canals",Improved hygiene ,No
Elizabeth Anyango,Borda,Female,No,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks,No,Yes,,No,,,,,,0,1,1,0,0,0,,Yes,We get water easily to wash hands,Yes,It destroyed crops,Store water/food ,,Yes,,Yes,Hygiene education / training,0,0,1,0,0,0,,Have clean water and reduce diseases,Need more canals,Trained hygiene,No
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Hygiene improvement.,Yes,Crops and properties damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Good health.,Water kiosks are not enough.,Access to clean water.,No
Tom Ocharo,Kokech,Male ,,No,,60+ years (Elderly),Trade,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less water borne diseases ,Yes,Desilting of canals enable water to flow faster ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation ,"Less water kiosk, continuous sanitation training and frequent desilting of canals ",Improved hygiene ,No
Joy Dawince Otieno,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,No water borne diseases,Yes,It's affected crops on the farm,Store water/food ,,Yes,,Yes,"Improved sanitation facilities Hygiene education / training Flood preparedness awareness Access to clean water points (Kiosks) Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation facilities,More canals still required,No diseases,No
Andericus Oguma,Kagola West,Female,Yes,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It flooded during rainy season ,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,Have clean hands and reduce germs ,Yes,Destroying crops ,Store water/food ,,Yes,,Yes,Hygiene education / training Flood preparedness awareness,0,0,1,1,0,0,,Have canals in our area ,We need to built more canals in our area,Have water around our area ,No
Samuel Muga,Kogola East,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Heavy rains weakens it's structure an dlater collapse,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"We have installed hand washing containers, we clean our compound to keep off mosquitoes",Yes,"During heavy rains, floods gets to my farm and destroys crops",Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene and sanitation training done by CHVs,"Distance from the kiosk is still a challenge to my family, there we ask for more kiosks to teach more people",Less cases of waterborne diseases and infections,No
Samuel Muga,Kogola East,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,During the rains the structure becomes weak leading to it's collapse ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less cases of germs infections have significantly reduced. ,Yes,During heavy rainfall water becomes  stagnant which later destroy crops ,Store water/food ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Flood preparedness awareness,1,1,1,1,0,0,,Hygiene and sanitation training ,"Distance from kiosk is still a challenge, we ask for extension ",Hygiene improvements within the household and the compound at large ,No
Joy Dawince Otieno,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,No water borne diseases,Yes,It's affected crops on the farm,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Improved on hygiene skills,More canals are still required,It's reduced flooding in the area,No
Joy Dawince Otieno,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,1,1,0,,Yes,No water borne diseases,Yes,No flooding within the area,Store water/food ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Flood preparedness awareness,1,1,1,1,0,0,,Improved sanitation facilities,More canals are required,No flooding,No
Tom Akumu,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Piped HFHK Water,,Yes,Yes,5,Yes,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Water borne deseases has reduced,No,,Use Protect latrines ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness,0,1,1,1,0,0,,Hygiene education and training,Evenly digging of canals around the village,Improved hygiene,No
Andericus Oguma,Kagola West,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Reduce cholera and rate of hospital regularly reduce ,Yes,Water flooded and destroyed crops ,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene and sanitation ,"Access to safe water is big challenge to majority 
Canal disiltation should be a continuous programme ",Sensitisation on WASH and access to safe water ,No
Tom Ocharo,Kokech,Female,No,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less diseases because of hygiene education ,Yes,Desilting of the canals enable water to flow faster hence no floods ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation ,"Less water kiosk, continuous hygiene training is required and desilting of canals is necessary ",Improved hygiene ,No
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse during heavy rain.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Access of clean water have reduced water born deseases.,Yes,Decilting of canals reduces flood.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,1,1,1,1,0,,Good health,More are needed to satisfy the villagers,Hygiene improvement.,No
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during Bad weather ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Practicing hygiene knowledge acquired during training  ,Yes,Desilting of canals enable water to flow faster hence reduce floods,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Hygiene training ,"Less water kiosk, continuous hygiene training and perpetual desilting ",Improved hygiene practices reduce illness ,No
